id;nom;icone;icone_content_type;absisce;ordonnee;arriereplan;arriereplan_content_type
1;networks Nuevo digital;../fake-data/blob/hipster.png;image/png;10386;28834;../fake-data/blob/hipster.png;image/png
2;USB Mouse Metrics;../fake-data/blob/hipster.png;image/png;69698;89504;../fake-data/blob/hipster.png;image/png
3;Tactics Granite Cotton;../fake-data/blob/hipster.png;image/png;66342;13632;../fake-data/blob/hipster.png;image/png
4;Games primary;../fake-data/blob/hipster.png;image/png;95482;52560;../fake-data/blob/hipster.png;image/png
5;markets Forward Steel;../fake-data/blob/hipster.png;image/png;42534;50012;../fake-data/blob/hipster.png;image/png
6;client-server ADP;../fake-data/blob/hipster.png;image/png;11650;76111;../fake-data/blob/hipster.png;image/png
7;white Tala;../fake-data/blob/hipster.png;image/png;8795;36069;../fake-data/blob/hipster.png;image/png
8;Hryvnia;../fake-data/blob/hipster.png;image/png;82450;48854;../fake-data/blob/hipster.png;image/png
9;online Estonia Manager;../fake-data/blob/hipster.png;image/png;86357;82950;../fake-data/blob/hipster.png;image/png
10;Berkshire matrix Shoes;../fake-data/blob/hipster.png;image/png;5015;61533;../fake-data/blob/hipster.png;image/png
