id;nom;description;regles;arriereplan;arriereplan_content_type;is_public
1;incremental communities white;channels;hack Assistant Fantastic;../fake-data/blob/hipster.png;image/png;true
2;JSON Awesome Shoes;maroon;Home Clothing;../fake-data/blob/hipster.png;image/png;true
3;Nauru Incredible;deposit SAS;Product;../fake-data/blob/hipster.png;image/png;false
4;Self-enabling Organic Soft;Flats Principal Account;Exclusive;../fake-data/blob/hipster.png;image/png;true
5;disintermediate;system;Berkshire Locks;../fake-data/blob/hipster.png;image/png;true
6;green Republic clicks-and-mortar;Moldova;SDD matrix gold;../fake-data/blob/hipster.png;image/png;true
7;Organized Rupee evolve;Rubber Cheese hack;Concrete Alley;../fake-data/blob/hipster.png;image/png;true
8;hard;Steel deposit;B2B Avon Practical;../fake-data/blob/hipster.png;image/png;true
9;Product Tactics Salad;Sausages sensor Cambridgeshire;auxiliary Avon Oklahoma;../fake-data/blob/hipster.png;image/png;false
10;Loan salmon;THX feed;Isle;../fake-data/blob/hipster.png;image/png;true
