id;nom;is_capital;icone;icone_content_type;absisce;ordonnee;arriereplan;arriereplan_content_type
1;Handmade;false;../fake-data/blob/hipster.png;image/png;13378;6860;../fake-data/blob/hipster.png;image/png
2;Shoes hacking quantifying;false;../fake-data/blob/hipster.png;image/png;55280;14110;../fake-data/blob/hipster.png;image/png
3;deposit transmitting;true;../fake-data/blob/hipster.png;image/png;31467;32495;../fake-data/blob/hipster.png;image/png
4;Connecticut;true;../fake-data/blob/hipster.png;image/png;48964;8848;../fake-data/blob/hipster.png;image/png
5;Islands;false;../fake-data/blob/hipster.png;image/png;20930;24943;../fake-data/blob/hipster.png;image/png
6;interactive Supervisor;false;../fake-data/blob/hipster.png;image/png;40242;82050;../fake-data/blob/hipster.png;image/png
7;Alaska;true;../fake-data/blob/hipster.png;image/png;22562;90202;../fake-data/blob/hipster.png;image/png
8;Automated;true;../fake-data/blob/hipster.png;image/png;96247;57214;../fake-data/blob/hipster.png;image/png
9;Japan compressing grid-enabled;true;../fake-data/blob/hipster.png;image/png;67892;73854;../fake-data/blob/hipster.png;image/png
10;vertical Extension Baby;false;../fake-data/blob/hipster.png;image/png;2173;31035;../fake-data/blob/hipster.png;image/png
